greedy_mc_i10000_features,greedy_mc_i10000_spread,greedy_mc_i10000_time
0,97.2335,0
448,98.6787,504.507
29458819,99.5071,1008.75
1711,100.134,1516.68
30007037,100.76,2023.48
1513304,101.387,2530.09
69273673,102.014,3033.99
64831419,102.64,3537.57
48970972,103.267,4043.31
28836942,103.893,4551.55
11305909,104.394,5060
44781847,104.906,5570.42
8779055,105.28,6072.9
932,105.674,6573.86
20894983,106.047,7076.21
8828301,106.46,7578.43
23390361,106.834,8082.05
27045802,107.208,8587.17
25388481,107.582,9090.27
1016424,107.955,9598.75
57321641,108.329,10106.9
32358583,108.703,10613
1991,109.061,11119.3
34161355,109.435,11627.1
258,109.831,12134.8
51645602,110.155,12643.4
90983046,110.529,13153.2
7921086,110.942,13663.9
60929052,111.269,14175.8
4717720,111.608,14688.2
429039,111.893,15201.1
2295629,112.166,15714.4
366,112.454,16226.9
40835481,112.705,16744.4
563289,112.931,17262.8
630211,113.157,17780.9
6904,113.354,18298.7
9041277,113.58,18817.6
20191714,113.815,19339
7602563,114.148,19862.8
55442956,114.344,20388.9
74682016,114.596,20916.6
30767258,114.793,21445
58802848,115.019,21973.7
1099548,115.239,22501.5
23830580,115.437,23030
45491419,115.634,23558.3
785647,115.861,24087.5
39482285,116.087,24616.9
68616538,116.271,25146.8
33217169,116.468,25680.1
598398,116.628,26216.5
74005614,116.81,26753.4
23108006,117.011,27289.9
25362950,117.298,27822.5
9040121,117.495,28356.2
28481833,117.691,28890.7
90552903,117.872,29426
496248,118.026,29966.7
11147079,118.222,30508.1
8030023,118.457,31049.4
