greedy_simpath_t0.001_features,greedy_simpath_t0.001_spread,greedy_simpath_t0.001_time
0,97.2335,0
448,98.6787,0.107906
29458819,99.5071,0.212172
41588298,100.135,0.319041
1513304,100.762,0.425895
69273673,101.388,0.531958
28836942,102.015,0.637566
1711,102.641,0.744498
48970972,103.268,0.850441
64831419,103.895,0.956258
44781847,104.407,1.05965
11305909,104.908,1.16583
932,105.301,1.27446
8828301,105.714,1.3852
90983046,106.088,1.49546
2295629,106.463,1.60314
34161355,106.836,1.70922
32358583,107.21,1.8203
23390361,107.584,1.9264
20894983,107.958,2.0315
27045802,108.331,2.13841
25388481,108.705,2.24447
8779055,109.079,2.35289
1016424,109.452,2.46223
1991,109.811,2.57223
258,110.207,2.68309
84875903,110.546,2.79266
60929052,110.873,2.90027
7921086,111.197,3.00668
29773549,111.611,3.11379
429039,111.896,3.22221
598398,112.168,3.33014
366,112.456,3.43661
7602563,112.743,3.55962
20191714,113.024,3.70205
40835481,113.274,3.86172
785647,113.501,4.01903
39482285,113.728,4.1827
9041277,113.954,4.34126
630211,114.18,4.4991
58802848,114.407,4.65762
563289,114.633,4.81571
27985352,114.853,4.98321
23108006,115.054,5.14431
25362950,115.341,5.3069
45491419,115.538,5.46973
18403220,115.735,5.6349
18694853,115.931,5.80246
6904,116.128,5.97312
20844846,116.324,6.14311
496248,116.521,6.31073
267352,116.718,6.48485
28481833,116.914,6.65179
30767675,117.111,6.82126
33217169,117.308,6.99129
55442956,117.504,7.16013
606161,117.756,7.32885
8030023,117.972,7.49334
728490,118.177,7.68466
23830580,118.374,7.88318
4717720,118.565,8.08857
