top_edges_features,top_edges_spread,top_edges_time
0,97.2335,0
8030023,97.4179,0.0002856
798041,97.5018,0.0002856
121093,97.5716,0.0002856
23820213,97.7471,0.0002856
84299,97.7479,0.0002856
1490741,97.799,0.0002856
456,97.815,0.0002856
6673,97.8288,0.0002856
366,98.116,0.0002856
9510110,98.1508,0.0002856
45941918,98.1823,0.0002856
23444840,98.2294,0.0002856
167937,98.2371,0.0002856
12016,98.2413,0.0002856
1037818,98.2615,0.0002856
18750533,98.2657,0.0002856
49065210,98.2883,0.0002856
3737019,98.3138,0.0002856
17252918,98.3648,0.0002856
10173,98.4097,0.0002856
41757,98.4203,0.0002856
33769033,98.4628,0.0002856
3460822,98.4655,0.0002856
11462611,98.5194,0.0002856
23953205,98.532,0.0002856
18537646,98.5441,0.0002856
8722610,98.5619,0.0002856
84331,98.5653,0.0002856
49423435,98.6057,0.0002856
38119975,98.6115,0.0002856
43882028,98.6167,0.0002856
40710957,98.618,0.0002856
8828301,98.9435,0.0002856
27041765,98.9562,0.0002856
33024523,98.9644,0.0002856
38815615,98.9956,0.0002856
56866769,99.0055,0.0002856
287228,99.0079,0.0002856
7393,99.0116,0.0002856
16330638,99.0167,0.0002856
34245535,99.0334,0.0002856
49819226,99.0361,0.0002856
36863510,99.0389,0.0002856
4777868,99.0607,0.0002856
25207919,99.0616,0.0002856
52630202,99.0843,0.0002856
7530419,99.0909,0.0002856
6208,99.3463,0.0002856
4070797,99.3689,0.0002856
16460911,99.3804,0.0002856
13002375,99.3871,0.0002856
4438311,99.4045,0.0002856
388,99.4046,0.0002856
1194300,99.5018,0.0002856
17228,99.5019,0.0002856
1201915,99.502,0.0002856
12329919,99.502,0.0002856
30838025,99.5021,0.0002856
2682332,99.5865,0.0002856
12969918,99.5865,0.0002856
