top_nodes_features,top_nodes_spread,top_nodes_time
0,97.2335,0
121093,97.3034,0.0001497
456,97.3192,0.0001497
8030023,97.5036,0.0001497
366,97.7908,0.0001497
798041,97.8747,0.0001497
84299,97.8757,0.0001497
6673,97.8841,0.0001497
18750533,97.8854,0.0001497
448,99.3309,0.0001497
41757,99.3535,0.0001497
23820213,99.5345,0.0001497
4777868,99.5537,0.0001497
6208,99.7523,0.0001497
49054859,99.7528,0.0001497
9510110,99.7806,0.0001497
49065210,99.7955,0.0001497
1490741,99.8587,0.0001497
9953916,99.8777,0.0001497
167937,99.8828,0.0001497
2295629,100.257,0.0001497
11305909,100.762,0.0001497
800272,100.772,0.0001497
96759519,100.782,0.0001497
4796057,100.789,0.0001497
7530419,100.792,0.0001497
84331,100.793,0.0001497
3737019,100.793,0.0001497
20003922,100.83,0.0001497
52630202,100.846,0.0001497
29458819,101.675,0.0001497
17252918,101.716,0.0001497
3809586,101.721,0.0001497
2258789,101.722,0.0001497
10173,101.771,0.0001497
23702661,101.771,0.0001497
27038667,101.794,0.0001497
45941918,101.837,0.0001497
2989,101.841,0.0001497
40835481,102.111,0.0001497
43882028,102.112,0.0001497
20536582,102.23,0.0001497
23444840,102.319,0.0001497
1991,102.636,0.0001497
16460911,102.637,0.0001497
21197560,102.638,0.0001497
267352,102.841,0.0001497
12016,102.845,0.0001497
28938939,102.845,0.0001497
45491419,103.042,0.0001497
728490,103.193,0.0001497
40710957,103.193,0.0001497
8828301,103.518,0.0001497
11462611,103.539,0.0001497
3460822,103.54,0.0001497
60231660,103.54,0.0001497
9589016,103.541,0.0001497
9063838,103.544,0.0001497
25362950,103.742,0.0001497
28524639,103.743,0.0001497
79319,103.757,0.0001497
